Condition,Dose,mean,std
Aq,0.0,-0.8066999022431148,0.4862998501433368
Aq,1.0,,
Aq,2.0,-0.6593012996917187,0.4193395781370226
Aq,3.0,,
Aq,4.0,-1.1407184126835905,0.6019525058287849
Aq,5.0,,
Aq,6.0,-1.950686711270061,0.3017311020218031
Aq,7.0,,
Aq,8.0,-1.9287919516292458,0.5110818379080484
Aq,9.0,,
Aq,10.0,-2.5630325581688504,0.527319798130345
Aq,12.0,-2.843148211457023,1.0491685273499474
Aq,14.0,-4.281311961798599,1.2869651641971531
Aq,16.0,-4.776919549106113,1.2882596240251454
Aq,18.0,-6.017381053129606,0.4503012236133323
